season,year,month,weather,total_rental
Springer,2011,January,Mist_Cloudy,985
Springer,2011,January,Mist_Cloudy,801
Springer,2011,January,Clear,1349
Springer,2011,January,Clear,1562
Springer,2011,January,Clear,1600
Springer,2011,January,Clear,1606
Springer,2011,January,Mist_Cloudy,1510
Springer,2011,January,Mist_Cloudy,959
Springer,2011,January,Clear,822
Springer,2011,January,Clear,1321
Springer,2011,January,Mist_Cloudy,1263
Springer,2011,January,Clear,1162
Springer,2011,January,Clear,1406
Springer,2011,January,Clear,1421
Springer,2011,January,Mist_Cloudy,1248
Springer,2011,January,Clear,1204
Springer,2011,January,Mist_Cloudy,1000
Springer,2011,January,Mist_Cloudy,683
Springer,2011,January,Mist_Cloudy,1650
Springer,2011,January,Mist_Cloudy,1927
Springer,2011,January,Clear,1543
Springer,2011,January,Clear,981
Springer,2011,January,Clear,986
Springer,2011,January,Clear,1416
Springer,2011,January,Mist_Cloudy,1985
Springer,2011,January,Light_Rain,506
Springer,2011,January,Clear,431
Springer,2011,January,Mist_Cloudy,1167
Springer,2011,January,Clear,1098
Springer,2011,January,Clear,1096
Springer,2011,January,Mist_Cloudy,1501
Springer,2011,February,Mist_Cloudy,1360
Springer,2011,February,Mist_Cloudy,1526
Springer,2011,February,Clear,1550
Springer,2011,February,Mist_Cloudy,1708
Springer,2011,February,Mist_Cloudy,1005
Springer,2011,February,Clear,1623
Springer,2011,February,Clear,1712
Springer,2011,February,Clear,1530
Springer,2011,February,Mist_Cloudy,1605
Springer,2011,February,Clear,1538
Springer,2011,February,Clear,1746
Springer,2011,February,Clear,1472
Springer,2011,February,Clear,1589
Springer,2011,February,Clear,1913
Springer,2011,February,Clear,1815
Springer,2011,February,Clear,2115
Springer,2011,February,Clear,2475
Springer,2011,February,Clear,2927
Springer,2011,February,Clear,1635
Springer,2011,February,Clear,1812
Springer,2011,February,Mist_Cloudy,1107
Springer,2011,February,Clear,1450
Springer,2011,February,Clear,1917
Springer,2011,February,Mist_Cloudy,1807
Springer,2011,February,Mist_Cloudy,1461
Springer,2011,February,Clear,1969
Springer,2011,February,Clear,2402
Springer,2011,February,Mist_Cloudy,1446
Springer,2011,March,Clear,1851
Springer,2011,March,Clear,2134
Springer,2011,March,Clear,1685
Springer,2011,March,Mist_Cloudy,1944
Springer,2011,March,Mist_Cloudy,2077
Springer,2011,March,Mist_Cloudy,605
Springer,2011,March,Clear,1872
Springer,2011,March,Clear,2133
Springer,2011,March,Mist_Cloudy,1891
Springer,2011,March,Light_Rain,623
Springer,2011,March,Mist_Cloudy,1977
Springer,2011,March,Clear,2132
Springer,2011,March,Clear,2417
Springer,2011,March,Clear,2046
